modelo,reamostragem,parametros,threshold,atende_recall_1_minimo,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,taxa_concessao_indevida,taxa_negacao_indevida,negados_corretamente_tn,concessoes_indevidas_fp,negacoes_indevidas_fn,concedidos_corretamente_tp
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.55,True,0.9468972533062054,0.5473251028806584,0.46830985915492956,0.5047438330170778,0.967679794520548,0.9762470308788599,0.9719445340212834,0.7383441835191806,0.8356635168384525,0.3944475306585913,0.5316901408450704,0.023752969121140142,133,151,110,4521
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.6,True,0.9464903357070193,0.5425101214574899,0.47183098591549294,0.504708097928437,0.967866323907455,0.9755992226301015,0.9717173889665556,0.7382127434474963,0.8564139099333639,0.44197938547088267,0.528169014084507,0.02440077736989851,134,150,113,4518
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.3,True,0.9346897253306206,0.43853820598006643,0.4647887323943662,0.4512820512820513,0.9670567837017772,0.963506801986612,0.9652785289345592,0.7082802901083053,0.8447461382416721,0.42354789983990704,0.5352112676056338,0.03649319801338804,132,152,169,4462
Extra Trees,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.4,True,0.911088504577823,0.3460764587525151,0.6056338028169014,0.44046094750320103,0.974649162516976,0.9298207730511768,0.9517073709802188,0.69608415924171,0.8318766518350005,0.3264327406076446,0.39436619718309857,0.07017922694882314,172,112,325,4306
Logistic Regression,sem reamostragem,"{'C': 10.0, 'class_weight': None, 'penalty': 'l2'}",0.7,True,0.9353001017293998,0.4397163120567376,0.43661971830985913,0.4381625441696113,0.9654651413770775,0.965882098898726,0.9656735751295337,0.7019180596495724,0.8412405984166714,0.33258983551320853,0.5633802816901409,0.03411790110127402,124,160,158,4473
Logistic Regression,com undersampling,"{'C': 1.0, 'class_weight': None, 'penalty': 'l2'}",0.45,True,0.9080366225839267,0.3090909090909091,0.4788732394366197,0.3756906077348066,0.966927374301676,0.9343554307924854,0.9503623984186251,0.6630265030767158,0.8248461835578359,0.30962323086611454,0.5211267605633803,0.06564456920751457,136,148,304,4327
Bernoulli Naive Bayes,sem reamostragem,"{'alpha': 0.01, 'fit_prior': True}",0.65,True,0.8655137334689725,0.2326241134751773,0.5774647887323944,0.3316481294236603,0.9714964370546318,0.8831785791405744,0.9252347019567922,0.6284414156902263,0.8191561917390762,0.2384145332170612,0.4225352112676056,0.11682142085942561,164,120,541,4090
Bernoulli Naive Bayes,com undersampling,"{'alpha': 0.01, 'fit_prior': True}",0.3,True,0.8382502543234995,0.2073310423825888,0.6373239436619719,0.31287813310285223,0.9745175655616032,0.8505722306197365,0.9083362158422691,0.6106071744725606,0.8144668051496193,0.2422614175045467,0.3626760563380282,0.14942776938026345,181,103,692,3939
Dummy,sem reamostragem,{},0.3,True,0.9422177009155646,0.0,0.0,0.0,0.9422177009155646,1.0,0.9702493190865283,0.48512465954326417,0.5,0.0577822990844354,1.0,0.0,0,284,0,4631
