threshold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,negados_corretamente_tn,concessoes_indevidas_fp,negacoes_indevidas_fn,concedidos_corretamente_tp,taxa_concessao_indevida,taxa_negacao_indevida,atende_recall_1_minimo
0.3,0.9473041709053917,0.6033057851239669,0.25704225352112675,0.36049382716049383,0.9559866499791406,0.9896350680198661,0.9725198938992042,0.666506860529849,0.8356631366692924,0.3944475306585913,73,211,48,4583,0.7429577464788732,0.010364931980133881,True
0.35,0.9501525940996948,0.6308724832214765,0.33098591549295775,0.4341801385681293,0.9601342845153168,0.9881235154394299,0.9739278493136108,0.7040539939408701,0.8356631366692924,0.3944475306585913,94,190,55,4576,0.6690140845070423,0.011876484560570071,True
0.4,0.9495422177009155,0.6168831168831169,0.3345070422535211,0.4337899543378995,0.9603024574669187,0.9872597711077521,0.9735945485519591,0.7036922514449293,0.8356631366692924,0.3944475306585913,95,189,59,4572,0.6654929577464789,0.012740228892247895,True
0.45,0.9493387589013225,0.6060606060606061,0.352112676056338,0.44543429844098,0.9612631578947368,0.9859641546102353,0.973456987527982,0.709445642984481,0.8356631366692924,0.3944475306585913,100,184,65,4566,0.647887323943662,0.01403584538976463,True
0.5,0.9487283825025432,0.5888888888888889,0.3732394366197183,0.45689655172413796,0.9624076029567054,0.9840207298639603,0.9730941704035875,0.7149953610638627,0.8356631366692924,0.3944475306585913,106,178,74,4557,0.6267605633802817,0.015979270136039732,True
0.55,0.9468972533062054,0.5473251028806584,0.46830985915492956,0.5047438330170778,0.967679794520548,0.9762470308788599,0.9719445340212834,0.7383441835191806,0.8356631366692924,0.3944475306585913,133,151,110,4521,0.5316901408450704,0.023752969121140142,True
0.6,0.9434384537131231,0.5111940298507462,0.4823943661971831,0.4963768115942029,0.9683666881859264,0.9717123731375513,0.9700366458288424,0.7332067287115227,0.8356631366692924,0.3944475306585913,137,147,131,4500,0.5176056338028169,0.028287626862448716,True
0.65,0.9399796541200407,0.48109965635738833,0.49295774647887325,0.48695652173913045,0.9688581314878892,0.9673936514791621,0.9681253376553215,0.727540929697226,0.8356631366692924,0.3944475306585913,140,144,151,4480,0.5070422535211268,0.03260634852083783,True
0.7,0.9326551373346897,0.4314868804664723,0.5211267605633803,0.47208931419457734,0.9702537182852143,0.9578924638307061,0.9640334673476041,0.7180613907710907,0.8356631366692924,0.3944475306585913,148,136,195,4436,0.4788732394366197,0.04210753616929389,True
0.75,0.9277721261444557,0.4087403598971722,0.5598591549295775,0.4725111441307578,0.9723817940786567,0.9503347009285251,0.9612318444905537,0.7168714943106558,0.8356631366692924,0.3944475306585913,159,125,230,4401,0.44014084507042256,0.04966529907147484,True
0.8,0.9200406917599186,0.38074398249452956,0.6126760563380281,0.46963562753036436,0.9753252579632122,0.938890088533794,0.9567609197931566,0.7131982736617605,0.8356631366692924,0.3944475306585913,174,110,283,4348,0.3873239436619718,0.061109911466206,True
0.85,0.9055951169888098,0.33695652173913043,0.6549295774647887,0.4449760765550239,0.9775383910153564,0.9209673936514792,0.9484100511452079,0.6966930638501159,0.8356631366692924,0.3944475306585913,186,98,366,4265,0.34507042253521125,0.07903260634852084,True
0.9,0.891556459816887,0.30637636080870917,0.6936619718309859,0.4250269687162891,0.9796348314606742,0.9036925070179227,0.9401325395933955,0.6825797541548423,0.8356631366692924,0.3944475306585913,197,87,446,4185,0.30633802816901406,0.0963074929820773,True
0.95,0.8579857578840285,0.2512019230769231,0.7359154929577465,0.37455197132616486,0.9816311535635562,0.865471820341179,0.9198990130823962,0.6472254922042805,0.8356631366692924,0.3944475306585913,209,75,623,4008,0.2640845070422535,0.134528179658821,True
